catg,subcatg,entity,count,TA_score
Aire acondicionado,Diagnóstico del Sistema,"1,1,1,2-tetrafluoroetano",1,37.7
Aceites y líquidos,Evaluación de Líquidos de Frenos,absorción (química),4,52.8
Carrocería,Elementos de Seguridad Estructural,acampada,2,34.75
Accesorios para coches,Regulaciones y Normativas de Tráfico,accidente de tránsito,1,78.0
Aceite de motor,Uso de Aditivos,aceite,52,49.16
Aceite de motor,Uso de Aditivos,aceite de motor,12,62.97
Aceite de motor,Uso de Aditivos,aceite sintético,6,27.19
Caja de cambios,Funcionalidad de Palancas,aceleración,19,45.25
Caja de cambios,Dinámica de Velocidades,acelerador,8,49.97
Accesorios para coches,Sistemas de Antenas Automotrices,acero,1,61.16
Accesorios para coches,Sistemas de Antenas Automotrices,acero inoxidable,1,48.0
Aire acondicionado,Limpieza y Conservación,acondicionamiento de aire,15,64.5
Carrocería,Sistemas de Cierre Centralizado,actuador,5,60.0
Caja de cambios,Dinámica de Velocidades,adherencia rueda-carril,8,67.1
Carrocería,Accesorios de Molduras Automotrices,adhesivo,3,64.56
Carrocería,Accesorios de Molduras Automotrices,adhesión,1,61.0
Aceite de motor,Uso de Aditivos,aditivo alimentario,6,44.9
Accesorios para coches,Soluciones de Purificación de Aire,adsorción,1,36.8
Accesorios para coches,Dispositivos de Monitoreo Vehicular,advanced encryption standard,1,50.28
Carrocería,Accesorios de Molduras Automotrices,aerodinámica,1,38.22
Accesorios para coches,Soluciones de Purificación de Aire,agente biológico patógeno,1,41.8
Carrocería,Sistemas de Cierre Centralizado,agua,6,50.8
Accesorios para coches,Regulaciones y Normativas de Tráfico,agudeza visual,1,45.16
Aire acondicionado,Diagnóstico del Sistema,agujero de la capa de ozono,1,46.84
Aceite de motor,Uso de Aditivos,ahorro,17,42.3
Accesorios para coches,Historial y Mantenimiento de Vehículos,airbag (automóvil),3,58.7
Accesorios para coches,Sistemas de Antenas Automotrices,aire,22,34.94
Aire acondicionado,Diagnóstico del Sistema,aire comprimido,1,33.6
Accesorios para coches,Sistemas de Antenas Automotrices,aislamiento eléctrico,4,63.2
Accesorios para coches,Dispositivos de Monitoreo Vehicular,ajuda (lisboa),1,20.56
Accesorios para coches,Regulaciones y Normativas de Tráfico,alcohol,1,46.1
Accesorios para coches,Soluciones de Purificación de Aire,alergia,1,45.8
Caja de cambios,Dinámica de Velocidades,algoritmo,8,42.38
Amortiguación,Componentes de Amortiguación Silenciosa,alta tensión eléctrica,1,41.44
Encendido y precalentamiento,Funcionamiento de Solenoides de Arranque,alternador,3,47.9
Accesorios para coches,Soluciones de Purificación de Aire,alérgeno,1,28.27
Amortiguación,Evaluación de Calidad de Amortiguadores,amortiguador (automóvil),3,52.53
Accesorios para coches,Sistemas de Antenas Automotrices,antena,3,53.53
Aceite de motor,Uso de Aditivos,anticorrosivo,6,43.88
Aceite de motor,Uso de Aditivos,antioxidante,7,50.72
Aire acondicionado,Diagnóstico del Sistema,análisis técnico,2,38.3
Carrocería,Sistemas de Cierre Centralizado,apagón eléctrico,2,64.4
Accesorios para coches,Soluciones de Purificación de Aire,aplicación móvil,1,43.38
Encendido y precalentamiento,Módulos y Componentes de Precalentamiento,arranque (informática),28,56.3
Accesorios para coches,Dispositivos de Monitoreo Vehicular,arsénico,1,56.72
Carrocería,Estructuras de Vidrio Automotriz,aseguramiento de la calidad,2,25.52
Aire acondicionado,Diagnóstico del Sistema,atmósfera,2,36.06
Accesorios para coches,Sistemas de Antenas Automotrices,audio para automóvil,2,28.19
Accesorios para coches,Dispositivos de Monitoreo Vehicular,auditoría,1,42.8
Caja de cambios,Clasificación de Transmisiones,automatización,3,63.88
Caja de cambios,Clasificación de Transmisiones,automovilismo,3,54.62
Aceite de motor,Uso de Aditivos,automóvil,127,54.88
Carrocería,Elementos de Seguridad Estructural,automóvil de carreras,2,33.6
Accesorios para coches,Regulaciones y Normativas de Tráfico,automóvil eléctrico,5,73.25
Caja de cambios,Tipología de Palancas,autopista,1,41.62
Aceite de motor,Uso de Aditivos,azufre,6,45.16
Aire acondicionado,Diagnóstico del Sistema,bacteria,2,37.66
Accesorios para coches,Sistemas de Antenas Automotrices,bandas de frecuencia,1,48.38
Aceite de motor,Uso de Aditivos,barniz,6,31.81
Amortiguación,Componentes de Amortiguación Silenciosa,barra estabilizadora,1,58.03
Carrocería,Elementos de Seguridad Estructural,barra fija,2,31.81
Accesorios para coches,Historial y Mantenimiento de Vehículos,bastidor (vehículo),3,51.1
Aire acondicionado,Limpieza y Conservación,basura,8,58.62
Encendido y precalentamiento,Bujías de Precalentamiento y Tipos,batería (electricidad),44,61.2
Accesorios para coches,Regulaciones y Normativas de Tráfico,bebida alcohólica,1,43.75
Accesorios para coches,Sistemas de Antenas Automotrices,blaupunkt,2,23.42
Aceite de motor,Uso de Aditivos,bloque del motor,8,36.16
Carrocería,Sistemas de Cierre Centralizado,bloqueo (ferrocarril),2,68.44
Accesorios para coches,Dispositivos de Monitoreo Vehicular,bluetooth,1,74.56
Aire acondicionado,Diagnóstico del Sistema,bomba de calor y ciclo de refrigeración,2,63.25
Aire acondicionado,Diagnóstico del Sistema,bomba de vacío,2,28.36
Aire acondicionado,Diagnóstico del Sistema,bomba hidráulica,6,50.62
Carrocería,Accesorios de Molduras Automotrices,brocha (instrumento),1,46.47
Encendido y precalentamiento,Bujías de Precalentamiento y Tipos,bujía,29,68.2
Encendido y precalentamiento,Módulos y Componentes de Precalentamiento,bujía de precalentamiento,28,80.5
Accesorios para coches,Sistemas de Antenas Automotrices,cable,4,42.47
Accesorios para coches,Sistemas de Antenas Automotrices,caja de cambios,52,67.4
Calefacción y ventilación,Control de Temperatura Automotriz,calefacción,3,59.97
Aire acondicionado,Diagnóstico del Sistema,calentamiento global,1,45.8
Accesorios para coches,Dispositivos de Monitoreo Vehicular,calibración,1,34.12
Encendido y precalentamiento,Funcionamiento de Solenoides de Arranque,calidad,3,55.6
Accesorios para coches,Soluciones de Purificación de Aire,calidad del aire interior,1,34.75
"Correas, cadenas, rodillos",Aplicaciones en Motores,calor,41,49.9
Accesorios para coches,Sistemas de Antenas Automotrices,camión,1,58.53
Encendido y precalentamiento,Funcionamiento de Solenoides de Arranque,campo magnético,3,48.1
Aire acondicionado,Diagnóstico del Sistema,capa de ozono,1,43.38
Aire acondicionado,Diagnóstico del Sistema,carbono,2,45.38
Accesorios para coches,Soluciones de Purificación de Aire,carbón,1,32.9
Accesorios para coches,Soluciones de Purificación de Aire,carbón activado,1,46.62
Aire acondicionado,Diagnóstico del Sistema,cargas térmicas de climatización,1,44.53
Aceite de motor,Uso de Aditivos,carretera,32,49.3
"Correas, cadenas, rodillos",Aplicaciones en Motores,caucho natural,31,66.8
"Correas, cadenas, rodillos",Aplicaciones en Motores,caucho sintético,31,51.72
Carrocería,Elementos de Seguridad Estructural,centro de gravedad,2,29.16
Carrocería,Sistemas de Cierre Centralizado,cerradura,2,52.8
Accesorios para coches,Regulaciones y Normativas de Tráfico,cerveza,1,51.12
Carrocería,Elementos de Seguridad Estructural,chasis,2,69.1
Aire acondicionado,Mantenimiento del Compresor,choque eléctrico,2,45.62
Carrocería,Sistemas de Cierre Centralizado,cierre centralizado,2,58.47
"Correas, cadenas, rodillos",Aplicaciones en Motores,cigüeñal,39,61.62
Encendido y precalentamiento,Bujías de Precalentamiento y Tipos,cilindro (motor),2,31.4
Accesorios para coches,Sistemas de Antenas Automotrices,cinta aislante,4,41.03
Encendido y precalentamiento,Módulos y Componentes de Precalentamiento,circuito,39,64.6
Encendido y precalentamiento,Módulos y Componentes de Precalentamiento,clic (informática),28,57.1
Encendido y precalentamiento,Funcionamiento de Solenoides de Arranque,cliente (economía),10,44.0
Carrocería,Sistemas de Cierre Centralizado,cliente (informática),2,41.72
Accesorios para coches,Sistemas de Antenas Automotrices,clima,22,42.53
Aire acondicionado,Limpieza y Conservación,climatización,12,61.7
Aire acondicionado,Diagnóstico del Sistema,climatización en vehículos,1,29.7
Calefacción y ventilación,Control de Temperatura Automotriz,climatizador,1,68.2
Encendido y precalentamiento,Bujías de Precalentamiento y Tipos,cobre,1,53.8
Aceite de motor,Uso de Aditivos,cojinete,24,64.6
Aceites y líquidos,Evaluación de Líquidos de Frenos,color,5,47.62
Aceite de motor,Uso de Aditivos,combustible,69,40.72
Aceite de motor,Uso de Aditivos,combustión,44,47.84
Accesorios para coches,Sistemas de Antenas Automotrices,competitividad,2,53.56
Accesorios para coches,Dispositivos de Monitoreo Vehicular,componente electrónico,1,59.38
Caja de cambios,Funcionalidad de Palancas,comportamiento,7,49.12
Aire acondicionado,Limpieza y Conservación,compresor (máquina),11,53.47
Aire acondicionado,Limpieza y Conservación,compresor de aire,10,53.9
Aceite de motor,Uso de Aditivos,compuesto químico,10,42.2
Accesorios para coches,Dispositivos de Monitoreo Vehicular,computadora,1,69.06
Accesorios para coches,Sistemas de Antenas Automotrices,comunicación,1,53.88
Accesorios para coches,Regulaciones y Normativas de Tráfico,concesionario de automóviles,5,62.75
Aire acondicionado,Diagnóstico del Sistema,condensación (cambio de estado),2,64.9
Aire acondicionado,Limpieza y Conservación,condensador (termodinámica),8,60.75
Aire acondicionado,Diagnóstico del Sistema,condensador eléctrico,1,35.4
Aceite de motor,Uso de Aditivos,conducción de calor,13,39.3
Encendido y precalentamiento,Bujías de Precalentamiento y Tipos,conducción eléctrica,6,53.47
Encendido y precalentamiento,Bujías de Precalentamiento y Tipos,conductividad eléctrica,3,39.4
Accesorios para coches,Sistemas de Antenas Automotrices,conector eléctrico,38,70.4
Accesorios para coches,Regulaciones y Normativas de Tráfico,congreso de los diputados,6,49.38
Carrocería,Estructuras de Vidrio Automotriz,conocimiento,5,58.47
"Correas, cadenas, rodillos",Aplicaciones en Motores,construcción,31,55.03
Accesorios para coches,Soluciones de Purificación de Aire,consumidor,4,51.38
Aire acondicionado,Mantenimiento del Compresor,consumo,1,36.84
Accesorios para coches,Soluciones de Purificación de Aire,consumo y recursos energéticos a nivel mundial,7,35.12
Encendido y precalentamiento,Bujías de Precalentamiento y Tipos,contacto eléctrico,1,38.12
Aceite de motor,Uso de Aditivos,contaminación,86,55.12
Accesorios para coches,Soluciones de Purificación de Aire,contaminación atmosférica,1,48.62
Accesorios para coches,Regulaciones y Normativas de Tráfico,control de alcoholemia,1,71.2
Caja de cambios,Clasificación de Transmisiones,control de tracción,11,58.6
Carrocería,Sistemas de Cierre Centralizado,control remoto,2,63.8
Aire acondicionado,Diagnóstico del Sistema,corazón,1,39.75
"Correas, cadenas, rodillos",Aplicaciones en Motores,correa de distribución,31,76.2
Encendido y precalentamiento,Módulos y Componentes de Precalentamiento,corriente eléctrica,36,64.8
Aceite de motor,Uso de Aditivos,corrosión,50,54.56
Accesorios para coches,Sistemas de Antenas Automotrices,cortocircuito,44,51.9
Carrocería,Elementos de Seguridad Estructural,coste total de propiedad,2,42.12
Aceite de motor,Uso de Aditivos,creencia,6,37.4
Carrocería,Estructuras de Vidrio Automotriz,cristal,3,41.2
Accesorios para coches,Dispositivos de Monitoreo Vehicular,cumplimiento normativo,1,45.6
Accesorios para coches,Dispositivos de Monitoreo Vehicular,dato,1,39.75
Accesorios para coches,Sistemas de Antenas Automotrices,demanda (economía),3,48.84
Accesorios para coches,Dispositivos de Monitoreo Vehicular,derecho de la unión europea,1,36.75
Aceite de motor,Uso de Aditivos,derivado del petróleo,6,30.38
Encendido y precalentamiento,Bujías de Precalentamiento y Tipos,descarga electrostática,1,48.1
Aceite de motor,Temperatura del Aceite,descomposición,5,34.16
Aceite de motor,Uso de Aditivos,desgaste,51,38.75
Calefacción y ventilación,Control de Temperatura Automotriz,deshumidificador,1,52.56
Accesorios para coches,Sistemas de Antenas Automotrices,destornillador,4,50.8
Aceite de motor,Uso de Aditivos,detergente,7,46.47
Encendido y precalentamiento,Módulos y Componentes de Precalentamiento,diagnóstico,54,44.25
Carrocería,Accesorios de Molduras Automotrices,dinero,1,30.05
Caja de cambios,Tipología de Palancas,dinámica,12,52.25
Accesorios para coches,Historial y Mantenimiento de Vehículos,dirección general de tráfico,3,60.12
Accesorios para coches,Sistemas de Antenas Automotrices,diseño,38,56.1
Calefacción y ventilación,Control de Temperatura Automotriz,disolución,2,27.94
Carrocería,Accesorios de Molduras Automotrices,disolvente,2,69.9
Encendido y precalentamiento,Funcionamiento de Solenoides de Arranque,disponibilidad,5,55.62
Accesorios para coches,Dispositivos de Monitoreo Vehicular,dispositivo digital,1,33.34
Aire acondicionado,Diagnóstico del Sistema,distribución uniforme continua,1,30.02
Aceite de motor,Temperatura del Aceite,diésel,1,39.62
Aceites y líquidos,Evaluación de Líquidos de Frenos,ebullición,4,68.56
Aceite de motor,Temperatura del Aceite,economía,1,22.5
Aceite de motor,Temperatura del Aceite,economía de combustible en automóviles,1,34.66
"Correas, cadenas, rodillos",Aplicaciones en Motores,educación,32,51.53
Aceite de motor,Uso de Aditivos,eficiencia,77,32.22
Accesorios para coches,Soluciones de Purificación de Aire,eficiencia energética,2,52.88
Aire acondicionado,Diagnóstico del Sistema,electricidad,1,44.84
Encendido y precalentamiento,Bujías de Precalentamiento y Tipos,electrodo,1,33.84
Encendido y precalentamiento,Esquemas y Conexiones Eléctricas,electroimán,2,53.2
Encendido y precalentamiento,Funcionamiento de Solenoides de Arranque,electromagnetismo,3,56.88
Encendido y precalentamiento,Funcionamiento de Solenoides de Arranque,electromecánica,5,48.1
Accesorios para coches,Sistemas de Antenas Automotrices,electrónica,22,52.3
Caja de cambios,Funcionalidad de Palancas,embrague,12,63.62
"Correas, cadenas, rodillos",Aplicaciones en Motores,emisiones,77,56.44
Aire acondicionado,Garantías y Repuestos,empresa,2,57.44
Encendido y precalentamiento,Módulos y Componentes de Precalentamiento,encendido del motor,28,44.03
"Correas, cadenas, rodillos",Aplicaciones en Motores,energía,76,49.47
Encendido y precalentamiento,Funcionamiento de Solenoides de Arranque,energía eléctrica,3,49.25
Accesorios para coches,Soluciones de Purificación de Aire,enfermedad,1,31.1
Caja de cambios,Funcionalidad de Palancas,engranaje,7,56.8
Aire acondicionado,Mantenimiento del Compresor,equipo de protección individual,2,30.52
Caja de cambios,Tipología de Palancas,ergonomía,4,71.4
Accesorios para coches,Dispositivos de Monitoreo Vehicular,escritura,1,29.45
Carrocería,Sistemas de Cierre Centralizado,escáner,2,32.53
Accesorios para coches,Historial y Mantenimiento de Vehículos,españa,8,50.56
Accesorios para coches,Soluciones de Purificación de Aire,espora,1,33.1
Aceite de motor,Uso de Aditivos,espuma,6,38.7
Carrocería,Accesorios de Molduras Automotrices,espátula,2,36.5
Carrocería,Estructuras de Vidrio Automotriz,estado,2,41.3
Accesorios para coches,Historial y Mantenimiento de Vehículos,estado de los estados unidos,3,40.66
Accesorios para coches,Regulaciones y Normativas de Tráfico,estadística,1,56.75
Accesorios para coches,Regulaciones y Normativas de Tráfico,estonia,1,50.25
Carrocería,Elementos de Seguridad Estructural,estrés,2,53.56
Caja de cambios,Dinámica de Velocidades,estática (mecánica),8,51.88
Accesorios para coches,Sistemas de Antenas Automotrices,estética,8,43.16
Aire acondicionado,Garantías y Repuestos,euro,7,53.16
Accesorios para coches,Regulaciones y Normativas de Tráfico,europa,5,48.47
Aire acondicionado,Diagnóstico del Sistema,evaporación,1,52.56
Aire acondicionado,Limpieza y Conservación,evaporador,8,65.75
Accesorios para coches,Sistemas de Antenas Automotrices,evolución biológica,5,56.75
Accesorios para coches,Sistemas de Antenas Automotrices,evolución tecnológica,2,37.56
Accesorios para coches,Dispositivos de Monitoreo Vehicular,factor limitante,1,23.42
Caja de cambios,Tipología de Palancas,fatiga de materiales,4,54.44
Amortiguación,Componentes de Amortiguación Silenciosa,felis silvestris catus,1,55.0
Calefacción y ventilación,Control de Temperatura Automotriz,fenómeno,1,33.0
Aceite de motor,Uso de Aditivos,fiabilidad de sistemas,44,62.97
Aceite de motor,Uso de Aditivos,filtración,12,42.2
Aire acondicionado,Limpieza y Conservación,filtro (hidráulica),15,53.2
Accesorios para coches,Historial y Mantenimiento de Vehículos,filtro de aceite,3,70.06
Aire acondicionado,Limpieza y Conservación,filtro de aire,7,66.44
"Correas, cadenas, rodillos",Aplicaciones en Motores,flexibilidad (anatomía),32,53.6
Caja de cambios,Funcionalidad de Palancas,fluido,8,38.56
Encendido y precalentamiento,Funcionamiento de Solenoides de Arranque,flujo,7,44.44
Aire acondicionado,Diagnóstico del Sistema,fluorescencia,1,35.84
Accesorios para coches,Dispositivos de Monitoreo Vehicular,formato de archivo,1,45.38
Aceite de motor,Uso de Aditivos,frecuencia,12,38.1
Aceites y líquidos,Evaluación de Líquidos de Frenos,freno,4,32.2
Aceite de motor,Uso de Aditivos,fricción,49,42.7
Accesorios para coches,Sistemas de Antenas Automotrices,fuente de alimentación,30,73.1
Carrocería,Accesorios de Molduras Automotrices,fuerza,14,55.38
Accesorios para coches,Sistemas de Antenas Automotrices,función (matemática),16,43.72
Encendido y precalentamiento,Módulos y Componentes de Precalentamiento,fusible,36,60.8
Accesorios para coches,Sistemas de Antenas Automotrices,física,3,37.22
Aceite de motor,Uso de Aditivos,fórmula química,6,42.62
Aceite de motor,Uso de Aditivos,fósforo,6,47.38
Carrocería,Accesorios de Molduras Automotrices,gafas,5,48.72
Accesorios para coches,Sistemas de Antenas Automotrices,ganancia (electrónica),2,26.84
Aceite de motor,Uso de Aditivos,garantía,9,41.25
Aire acondicionado,Diagnóstico del Sistema,gas,2,50.38
Aire acondicionado,Diagnóstico del Sistema,gas de efecto invernadero,1,54.28
Aceite de motor,Temperatura del Aceite,gasolina,1,40.0
Amortiguación,Componentes de Amortiguación Silenciosa,gato (dispositivo),1,58.3
Amortiguación,Componentes de Amortiguación Silenciosa,geometría,1,48.84
Amortiguación,Componentes de Amortiguación Silenciosa,geometría de la suspensión,1,72.56
Accesorios para coches,Sistemas de Antenas Automotrices,gestión,2,49.38
Accesorios para coches,Sistemas de Antenas Automotrices,gestión de flotas,2,71.1
Aire acondicionado,Garantías y Repuestos,gestión de riesgos,1,38.78
Accesorios para coches,Sistemas de Antenas Automotrices,gps,3,59.88
Aceite de motor,Temperatura del Aceite,grado celsius,5,23.95
Aceite de motor,Temperatura del Aceite,grado sexagesimal,5,22.56
Carrocería,Accesorios de Molduras Automotrices,grasa,1,40.56
Accesorios para coches,Historial y Mantenimiento de Vehículos,grasa (lubricante),3,72.9
Carrocería,Elementos de Seguridad Estructural,gravedad,4,35.47
Carrocería,Accesorios de Molduras Automotrices,guante,3,62.3
Accesorios para coches,Soluciones de Purificación de Aire,hepa,1,54.62
Encendido y precalentamiento,Módulos y Componentes de Precalentamiento,herramienta,38,58.47
Aceite de motor,Uso de Aditivos,hidrocarburo,6,53.6
Caja de cambios,Funcionalidad de Palancas,hidráulica,8,45.2
Accesorios para coches,Sistemas de Antenas Automotrices,hielo,1,48.03
Aceite de motor,Temperatura del Aceite,hollín,1,38.38
Caja de cambios,Clasificación de Transmisiones,homo sapiens,3,56.8
Aire acondicionado,Diagnóstico del Sistema,huella de carbono,1,50.03
Aceite de motor,Uso de Aditivos,humedad,21,34.9
Calefacción y ventilación,Control de Temperatura Automotriz,humedad del aire,1,68.2
